metric,service,service_type,node,container,task,job,instance,address,duration_seconds,completed_at,started_at
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0641463149995616,2025-09-26 19:27:13+00:00,2025-09-26 19:27:10.935854+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7117837710002277,2025-09-26 19:27:13+00:00,2025-09-26 19:27:11.288216+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.0788971689999016,2025-09-26 19:27:13+00:00,2025-09-26 19:27:11.921103+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,1.1432674679999764,2025-09-26 19:27:13+00:00,2025-09-26 19:27:11.856733+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.13114506200054166,2025-09-26 19:27:13+00:00,2025-09-26 19:27:12.868855+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.0788971689999016,2025-09-26 19:27:43+00:00,2025-09-26 19:27:41.921103+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,1.1432674679999764,2025-09-26 19:27:43+00:00,2025-09-26 19:27:41.856733+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.360174898999503,2025-09-26 19:27:43+00:00,2025-09-26 19:27:41.639825+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1022156720000567,2025-09-26 19:27:43+00:00,2025-09-26 19:27:40.897784+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.13114506200054166,2025-09-26 19:27:43+00:00,2025-09-26 19:27:42.868855+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8869897529993978,2025-09-26 19:28:13+00:00,2025-09-26 19:28:12.113010+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1022156720000567,2025-09-26 19:28:13+00:00,2025-09-26 19:28:10.897784+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6501663199996983,2025-09-26 19:28:13+00:00,2025-09-26 19:28:12.349834+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.360174898999503,2025-09-26 19:28:13+00:00,2025-09-26 19:28:11.639825+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.126606687000276,2025-09-26 19:28:13+00:00,2025-09-26 19:28:12.873393+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.477184474999376,2025-09-26 19:28:43+00:00,2025-09-26 19:28:41.522816+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8869897529993978,2025-09-26 19:28:43+00:00,2025-09-26 19:28:42.113010+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6996003920003204,2025-09-26 19:28:43+00:00,2025-09-26 19:28:42.300400+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1022156720000567,2025-09-26 19:28:43+00:00,2025-09-26 19:28:40.897784+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12961970899959852,2025-09-26 19:28:43+00:00,2025-09-26 19:28:42.870380+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8869897529993978,2025-09-26 19:29:13+00:00,2025-09-26 19:29:12.113010+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6996003920003204,2025-09-26 19:29:13+00:00,2025-09-26 19:29:12.300400+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12961970899959852,2025-09-26 19:29:13+00:00,2025-09-26 19:29:12.870380+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.1416657469999336,2025-09-26 19:29:13+00:00,2025-09-26 19:29:10.858334+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.477184474999376,2025-09-26 19:29:13+00:00,2025-09-26 19:29:11.522816+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.477184474999376,2025-09-26 19:29:43+00:00,2025-09-26 19:29:41.522816+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.15385161699941818,2025-09-26 19:29:43+00:00,2025-09-26 19:29:42.846148+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9060775990001275,2025-09-26 19:29:43+00:00,2025-09-26 19:29:42.093922+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2743964840001354,2025-09-26 19:29:43+00:00,2025-09-26 19:29:40.725604+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6996003920003204,2025-09-26 19:29:43+00:00,2025-09-26 19:29:42.300400+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.480240543999571,2025-09-26 19:30:13+00:00,2025-09-26 19:30:11.519759+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12737159999960568,2025-09-26 19:30:13+00:00,2025-09-26 19:30:12.872628+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9500229140003285,2025-09-26 19:30:13+00:00,2025-09-26 19:30:12.049977+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2743964840001354,2025-09-26 19:30:13+00:00,2025-09-26 19:30:10.725604+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6933208150003338,2025-09-26 19:30:13+00:00,2025-09-26 19:30:12.306679+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.9500229140003285,2025-09-26 19:30:43+00:00,2025-09-26 19:30:42.049977+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:30:43+00:00,2025-09-26 19:30:40.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.3015705000007074,2025-09-26 19:30:43+00:00,2025-09-26 19:30:41.698429+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.12737159999960568,2025-09-26 19:30:43+00:00,2025-09-26 19:30:42.872628+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.6933208150003338,2025-09-26 19:30:43+00:00,2025-09-26 19:30:42.306679+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.3015705000007074,2025-09-26 19:31:13+00:00,2025-09-26 19:31:11.698429+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:31:13+00:00,2025-09-26 19:31:10.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,1.146605747000649,2025-09-26 19:31:13+00:00,2025-09-26 19:31:11.853394+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.1333923499996672,2025-09-26 19:31:13+00:00,2025-09-26 19:31:12.866608+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:31:13+00:00,2025-09-26 19:31:12.123885+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:31:43+00:00,2025-09-26 19:31:41.296550+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.2441907249994983,2025-09-26 19:31:43+00:00,2025-09-26 19:31:40.755809+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:31:43+00:00,2025-09-26 19:31:42.112767+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.123810706999393,2025-09-26 19:31:43+00:00,2025-09-26 19:31:42.876189+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:31:43+00:00,2025-09-26 19:31:42.123885+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,80c4d5839839,unknown,custom_services,10.0.1.4:8000,10.0.1.4:8000,1.7034500139998272,2025-09-26 19:32:13+00:00,2025-09-26 19:32:11.296550+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:32:13+00:00,2025-09-26 19:32:12.112767+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8761146070000905,2025-09-26 19:32:13+00:00,2025-09-26 19:32:12.123885+00:00
factorial_execution_time_seconds,fact_service,factorial,unknown,637edbcfca07,unknown,custom_services,10.0.1.5:8000,10.0.1.5:8000,0.123810706999393,2025-09-26 19:32:13+00:00,2025-09-26 19:32:12.876189+00:00
factorial_execution_time_seconds,fact_500000,factorial,unknown,31c09ba7b59c,unknown,custom_services,10.0.1.3:8000,10.0.1.3:8000,2.0713295819996347,2025-09-26 19:32:13+00:00,2025-09-26 19:32:10.928670+00:00
factorial_execution_time_seconds,fact_300000,factorial,unknown,eda5bcad4640,unknown,custom_services,10.0.1.6:8000,10.0.1.6:8000,0.8687526249996154,2025-09-26 19:32:43+00:00,2025-09-26 19:32:42.131247+00:00
matrix_multiplication_time_seconds,matrix_service,matrix,unknown_node,6905306ad566,unknown,custom_services,10.0.1.2:8000,10.0.1.2:8000,0.8872327669996594,2025-09-26 19:32:43+00:00,2025-09-26 19:32:42.112767+00:00
